seed,generation,candidate,initial_frequency,learned_frequency_mean,best_validation_accuracy,selected
42,1,1,0.22999999999999998,0.22372755355068616,0.7174,0
42,1,2,0.41,0.39769879409245085,0.7474,0
42,1,3,0.5900000000000001,0.5484667207513537,0.7536,0
42,1,4,0.77,0.7133081981113979,0.7672,1
42,2,1,0.7133081981113979,0.6633421778678894,0.7574,0
42,2,2,0.5484667207513537,0.5128292569092342,0.7486,0
42,2,3,0.6027209863576621,0.5583630417074475,0.749,0
42,2,4,0.558193609581348,0.5217016679900033,0.7516,0
43,1,1,0.22999999999999998,0.22302401564749225,0.7178,0
43,1,2,0.41,0.38402477758271353,0.749,0
43,1,3,0.5900000000000001,0.5485326818057469,0.7596,0
43,1,4,0.77,0.7178489310400826,0.7692,1
43,2,1,0.7178489310400826,0.6656782584530967,0.7616,0
43,2,2,0.5485326818057469,0.5055473276547023,0.7544,0
43,2,3,0.6413752175941374,0.5943236478737423,0.7596,0
43,2,4,0.7241077979943119,0.6737803476197379,0.7646,0
44,1,1,0.22999999999999998,0.22316672672916735,0.7254,0
44,1,2,0.41,0.3810579074280603,0.7454,0
44,1,3,0.5900000000000001,0.541459824357714,0.7584,0
44,1,4,0.77,0.7087062852723258,0.7694,1
44,2,1,0.7087062852723258,0.6481494179793766,0.7598,0
44,2,2,0.541459824357714,0.4972233900002071,0.7564,0
44,2,3,0.4916311297855471,0.45686735425676617,0.7544,0
44,2,4,0.6089720318622495,0.556487670966557,0.7602,0
