condition,label,seed,initial_frequency,selected_frequency,search_epoch_equivalents,selected_path_epochs,total_duration_seconds,run_dir,dataset,architecture,activation,device,runtime,parameter_count,epochs_completed,global_step,best_validation_accuracy,best_validation_epoch,initial_validation_accuracy,final_validation_accuracy,test_model_selection,test_loss,test_accuracy,final_test_loss,final_test_accuracy,duration_seconds,final_frequency_min,final_frequency_mean,final_frequency_max,warmup_frequency_mean,selected_generation
gelu,GELU,42,,,0,100,15.909041599996272,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\gelu\seed-42_gelu,synthetic_pqd,signal_cnn,gelu,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1748,100,800,0.935546875,81,,0.931640625,best_validation,0.24989713303511962,0.922119140625,0.25048236217116937,0.924072265625,14.509709799996926,,,,,
direct_peuaf,Direct PEUAF,42,0.5,0.5,0,100,31.534736999994493,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\direct_peuaf\seed-42_direct_peuaf,synthetic_pqd,signal_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1754,100,800,0.859375,85,,0.8525390625,best_validation,0.5382081414572895,0.844970703125,0.5385557166300714,0.84716796875,31.461293600004865,0.4412534534931183,0.49918640156586963,0.5241008996963501,,
staged_peuaf,Staged PEUAF,42,0.5,0.5,10,100,31.80096099999355,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\staged_peuaf\seed-42_staged_peuaf_final,synthetic_pqd,signal_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1754,90,720,0.8505859375,48,0.3994140625,0.8447265625,best_validation,0.5234756548888981,0.842041015625,0.5167012107558548,0.84423828125,28.52601119999599,0.4314328134059906,0.4972246785958608,0.5246144533157349,0.4963838706413905,
evolved_peuaf,Evolved PEUAF,42,0.5,0.557465359321903,120,100,65.73879870000383,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\evolved_peuaf\seed-42_evolved_peuaf_20260614_125812\selected_full_training,synthetic_pqd,signal_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1754,90,720,0.853515625,35,0.6591796875,0.84765625,best_validation,0.47402792796492577,0.838623046875,0.46541039808653295,0.840576171875,28.831311000001733,0.5290364027023315,0.5588427285353342,0.6057494282722473,0.5537023345629374,2
gelu,GELU,43,,,0,100,14.705717299999378,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\gelu\seed-43_gelu,synthetic_pqd,signal_cnn,gelu,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1748,100,800,0.9462890625,59,,0.943359375,best_validation,0.1937919158663135,0.94384765625,0.1831850804737769,0.94677734375,14.683774700002687,,,,,
direct_peuaf,Direct PEUAF,43,0.5,0.5,0,100,31.575315599999158,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\direct_peuaf\seed-43_direct_peuaf,synthetic_pqd,signal_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1754,100,800,0.8623046875,56,,0.859375,best_validation,0.5400940945837647,0.858642578125,0.5439145520795137,0.857421875,31.55319829999644,0.4454798698425293,0.49381673832734424,0.5147864818572998,,
staged_peuaf,Staged PEUAF,43,0.5,0.5,10,100,31.67266660000314,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\staged_peuaf\seed-43_staged_peuaf_final,synthetic_pqd,signal_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1754,90,720,0.8544921875,39,0.6181640625,0.8515625,best_validation,0.5498492429032922,0.8486328125,0.5409259556327015,0.853271484375,28.442708499998844,0.45011967420578003,0.4955802708864212,0.5169626474380493,0.4997566094001134,
evolved_peuaf,Evolved PEUAF,43,0.5,0.8492487225331967,120,100,65.53105309999955,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\evolved_peuaf\seed-43_evolved_peuaf_20260614_130035\selected_full_training,synthetic_pqd,signal_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1754,90,720,0.8798828125,58,0.650390625,0.87890625,best_validation,0.5205659153871238,0.864501953125,0.5174681434873492,0.8671875,28.671040000001085,0.8181620240211487,0.8533938825130463,0.9012078642845154,0.8516625364621481,2
gelu,GELU,44,,,0,100,14.37081500000204,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\gelu\seed-44_gelu,synthetic_pqd,signal_cnn,gelu,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1748,100,800,0.94921875,42,,0.9423828125,best_validation,0.1986877927556634,0.94287109375,0.17713666663621552,0.942138671875,14.349610600002052,,,,,
direct_peuaf,Direct PEUAF,44,0.5,0.5,0,100,31.13481850000244,runs\benchmarks\publication\peuaf_evolution_confirmation_20260614_125652\runs\direct_peuaf\seed-44_direct_peuaf,synthetic_pqd,signal_cnn,peuaf,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",1754,100,800,0.9072265625,69,,0.9033203125,best_validation,0.4474269147031009,0.8896484375,0.44872601004317403,0.888671875,31.113287000000128,0.4703577756881714,0.49211696286996204,0.5084950923919678,,
